year,hhid,plot_area,sr_yield,cc_yield,,
2,1619,0.49412,362.0957,10.82564,,
1,1619,0.092723,377.8219,543.5125,,
2,1702,0.056603,2489.354,1386.434,,
1,1702,0.14436,509.1776,827.8284,,
1,1703,0.10007,318.3063,1676.616,,
2,1703,0.079919,552.3491,349.695,,
2,1704,0.24682,896.7979,206.8198,,
1,1704,0.40053,928.4119,942.2471,,
1,1708,0.12854,637.0172,694.5222,,
2,1708,0.4473,1703.898,392.5898,,
1,1711,0.031323,319.3702,502.9756,,
2,1711,0.049709,281.3536,71.2887,,
2,1713,0.77094,35.12101,269.5584,,
1,1713,0.8947901,1767.538,896.3738,,
1,1714,0.078009,410.6922,1037.769,,
2,1714,0.77495,1449.544,1782.524,,
2,1723,0.18427,347.8551,139.1798,,
1,1723,0.092496,1862.713,1793.753,,
2,1801,0.033366,178.7864,189.3354,,
1,1801,0.080821,3385.824,1096.882,,
2,1803,0.39269,2588.729,1321.384,,
1,1803,0.044546,5325.864,1821.098,,
2,1804,0.067075,778.0023,1393.835,,
1,1804,0.25566,987.4719,1262.97,,
2,1805,0.106,1048.83,175.7859,,
1,1805,0.1096,3529.936,968.5568,,
1,1806,0.14401,1901.275,1419.211,,
2,1806,0.068723,3209.088,1352.307,,
1,1808,0.275,937.8257,848.0397,,
2,1808,0.27608,777.3743,1524.599,,
1,1809,0.31009,811.4513,692.8273,,
2,1809,0.2217,1165.649,633.5462,,
1,1810,0.10087,0,532.5636,,
2,1810,0.03764,788.8062,212.4273,,
2,1821,0.2308,3226.853,1770.753,,
1,1821,0.16625,2031.952,1157.96,,
2,1822,0.06029,44.73143,0,,
1,1822,0.032397,951.6372,798.5915,,
2,1905,0.059205,9551.7,1020.397,,
1,1905,0.31468,599.6546,950.7267,,
2,1907,0.13791,665.4255,569.4672,,
1,1907,0.1508,922.4266,102.2824,,
1,1909,0.19557,162.5209,260.046,,
2,1909,0.18081,440.3906,580.9268,,
1,1910,0.024883,1020.269,693.5637,,
2,1910,0.11007,336.8221,1201.714,,
2,1911,0.16021,604.1113,774.3231,,
1,1911,0.15122,1245.387,1418.403,,
2,1912,0.015967,1220.174,1428.601,,
1,1912,0.036707,1446.804,1502.026,,
2,1915,0.092097,1371.228,493.6829,,
1,1915,0.043877,5969.864,562.1682,,
2,1916,0.34462,1415.031,1086.893,,
1,1916,0.32482,1257.161,1145.672,,
2,1917,0.16694,1410.609,1498.8,,
1,1917,0.10553,1919.38,970.1659,,
2,1918,0.081264,10076.64,1196.439,,
1,1918,0.097602,2615.008,724.2806,,
1,2002,0.155,816.9935,1389.104,,
2,2002,0.12497,266.2238,425.6254,,
1,2003,0.16564,273.1512,796.5005,,
2,2003,0.18316,248.0889,87.72549,,
2,2004,0.11257,1412.828,206.2974,,
1,2004,0.027801,2549.448,546.2625,,
1,2007,0.036106,1759.221,425.9846,,
2,2007,0.02145,416.2526,441.6568,,
1,2008,0.15795,821.6242,1240.624,,
2,2008,0.17932,328.9347,437.2036,,
1,2009,0.32367,978.0686,964.846,,
2,2009,0.12237,1670.817,994.9224,,
1,2010,0.091542,2250.706,516.6375,,
2,2010,0.0195,8590.016,542.2821,,
1,2012,0.055624,700.9474,2915.753,,
2,2012,0.0096,9186.53,473.902,,
2,2013,0.1602,3515.354,427.259,,
1,2013,0.349,879.8989,1482.523,,
2,2015,0.0246,13736.26,1958.576,,
1,2015,0.068795,673.7031,955.5682,,
2,2102,0.08634,2011.996,658.207,,
1,2102,0.026376,2191.625,769.2631,,
2,2106,0.054511,3590.908,1350.337,,
1,2106,0.051681,3378.899,827.0824,,
1,2107,0.07221,109.063,460.8727,,
2,2107,0.17125,366.512,85.5799,,
2,2108,0.15189,1669.304,403.191,,
1,2108,0.1417,2831.982,582.063,,
2,2109,0.056933,1978.905,259.972,,
1,2109,0.050169,42.39138,21.54886,,
2,2111,0.10913,248.4608,906.5689,,
1,2111,0.080933,891.6561,221.817,,
1,2113,0.25982,1939.338,960.7432,,
2,2113,0.055275,1484.449,394.1865,,
2,2117,0.031466,1038.653,227.4165,,
1,2117,0.043754,29998.38,366.1909,,
1,2118,0.1039,194.9663,667.1171,,
2,2118,1.6779,2243.494,1499.468,,
2,2203,0.14785,222.6865,95.85618,,
1,2203,0.1184,1169.171,207.8562,,
1,2206,0.49327,268.6799,161.85,,
2,2206,0.17019,528.1091,305.8904,,
2,2207,0.095371,234.9013,60.05327,,
1,2207,0.049439,12.63942,31.41818,,
2,2209,0.18878,43.86446,39.9446,,
1,2209,0.37996,61.64093,242.5,,
2,2210,0.11156,522.9178,274.6873,,
1,2210,0.072524,1772.446,791.3721,,
1,2212,0.11166,182.3819,808.9603,,
2,2212,0.33922,468.6799,708.6719,,
1,2214,0.069082,894.1306,1353.874,,
2,2214,0.10369,2600.452,1407.955,,
1,2215,0.15002,857.9922,766.4273,,
2,2215,0.22474,1149.122,1315.986,,
2,2216,0.050751,2953.62,547.6428,,
1,2216,0.015445,483.377,397.9483,,
2,2219,0.18401,1412.642,157.8196,,
1,2219,0.1191,2705.285,718.0318,,
1,2301,0.3197,983.6324,200.2386,,
2,2301,0.074421,0,346.5634,,
2,2302,0.099999,165.0796,272.9222,,
1,2302,0.17079,274.5185,2043.369,,
2,2303,0.18028,700.5128,583.7939,,
1,2303,0.020168,900.1472,338.5148,,
2,2304,0.082874,4707.482,480.2353,,
1,2304,0.14857,695.2852,1087.637,,
1,2305,0.04097,1807.834,329.7909,,
